model,rmse,mae,r2,mape_percent,training_time_seconds,prediction_time_seconds
Extra Trees Regressor,1.0168090451532952,0.7818553333333333,0.9922478845801497,1.5339379007476803,1.1901535000069998,0.031486499996390194
Random Forest Regressor,1.073879107622699,0.8276476585317462,0.9913532636909557,1.6124320510354357,2.09230880002724,0.021959099976811558
XGBoost Regressor,1.1747438021787118,0.9050580213356018,0.9896526830248978,1.776626790703936,0.40499750000890344,0.00699309998890385
HistGradientBoostingRegressor,4.835015059032473,3.796084740485773,0.8247180925767756,7.793806691677537,1.581642099947203,0.008243100019171834
Gradient Boosting Regressor,5.445801363189136,4.258018841700073,0.7776357218176957,8.722500531625787,7.053121400007512,0.011049299966543913
